sizeFolder,iterFolder,trainSize,mcrTrain,fprTrain,fnrTrain,testSize,mcrTest,fprTest,fnrTest,runtime,t_t,x_t,c_t
60,11,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.05925925925925926,0.03515625,0.08098591549295775,14.792845139,0.01,1.0,1.0
60,10,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.03796296296296296,0.035381750465549346,0.040515653775322284,13.810971354,0.01,1.0,1.0
60,18,120,0.025,0.047619047619047616,0.0,1080,0.04814814814814815,0.032567049808429116,0.06272401433691756,13.582261501,0.01,1.0,1.0
60,8,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.03981481481481482,0.03551401869158879,0.044036697247706424,13.785500723,0.01,1.0,1.0
60,2,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.044444444444444446,0.035849056603773584,0.05272727272727273,13.705079958,0.01,1.0,1.0
60,16,120,0.03333333333333333,0.0625,0.0,1080,0.040740740740740744,0.03207547169811321,0.04909090909090909,13.424807478,0.01,1.0,1.0
60,5,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.044444444444444446,0.03409090909090909,0.05434782608695652,13.860856834,0.01,1.0,1.0
60,9,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.030555555555555555,0.03656307129798903,0.024390243902439025,13.764310133,0.01,1.0,1.0
60,3,120,0.008333333333333333,0.01639344262295082,0.0,1080,0.03888888888888889,0.03717472118959108,0.04059040590405904,12.528643914,0.01,1.0,1.0
60,14,120,0.0,0.0,0.0,1080,0.04814814814814815,0.03787878787878788,0.057971014492753624,13.436079355,0.01,1.0,1.0
60,4,120,0.008333333333333333,0.01639344262295082,0.0,1080,0.03888888888888889,0.03717472118959108,0.04059040590405904,13.166328679,0.01,1.0,1.0
60,6,120,0.025,0.047619047619047616,0.0,1080,0.05092592592592592,0.03275529865125241,0.0677361853832442,14.100758275,0.01,1.0,1.0
60,7,120,0.008333333333333333,0.01639344262295082,0.0,1080,0.04537037037037037,0.035916824196597356,0.0544464609800363,13.842276051,0.01,1.0,1.0
60,12,120,0.0,0.0,0.0,1080,0.04814814814814815,0.03787878787878788,0.057971014492753624,13.363036583,0.01,1.0,1.0
60,1,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.032407407407407406,0.034990791896869246,0.0297951582867784,12.646328924,0.01,1.0,1.0
60,17,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.04722222222222222,0.036053130929791274,0.05786618444846293,12.890346667,0.01,1.0,1.0
60,19,120,0.0,0.0,0.0,1080,0.05092592592592592,0.0380952380952381,0.06306306306306306,13.297517803,0.01,1.0,1.0
60,13,120,0.03333333333333333,0.0625,0.0,1080,0.03518518518518519,0.03171641791044776,0.03860294117647059,13.152650161,0.01,1.0,1.0
60,0,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.04259259259259259,0.03571428571428571,0.04927007299270073,14.226085048,0.01,1.0,1.0
60,15,120,0.016666666666666666,0.03225806451612903,0.0,1080,0.03611111111111111,0.0335195530726257,0.03867403314917127,13.210376237,0.01,1.0,1.0
150,11,300,0.016666666666666666,0.03225806451612903,0.0,900,0.04,0.03587443946188341,0.04405286343612335,19.779706865,0.01,1.0,1.0
150,10,300,0.02,0.038461538461538464,0.0,900,0.043333333333333335,0.034013605442176874,0.05228758169934641,19.834704092,0.01,1.0,1.0
150,18,300,0.013333333333333334,0.025974025974025976,0.0,900,0.04777777777777778,0.03854875283446712,0.05664488017429194,18.519708255,0.01,1.0,1.0
150,8,300,0.016666666666666666,0.03225806451612903,0.0,900,0.028888888888888888,0.03508771929824561,0.02252252252252252,19.701595322,0.01,1.0,1.0
150,2,300,0.016666666666666666,0.03225806451612903,0.0,900,0.025555555555555557,0.034858387799564274,0.015873015873015872,20.692386684,0.01,1.0,1.0
150,16,300,0.006666666666666667,0.013157894736842105,0.0,900,0.035555555555555556,0.041666666666666664,0.02927927927927928,19.657281291,0.01,1.0,1.0
150,5,300,0.02,0.038461538461538464,0.0,900,0.028888888888888888,0.030973451327433628,0.026785714285714284,19.582729828,0.01,1.0,1.0
150,9,300,0.013333333333333334,0.025974025974025976,0.0,900,0.022222222222222223,0.036637931034482756,0.006880733944954129,19.988598662,0.01,1.0,1.0
150,3,300,0.03,0.05660377358490566,0.0,900,0.034444444444444444,0.024943310657596373,0.04357298474945534,18.887771059,0.01,1.0,1.0
150,14,300,0.02,0.038461538461538464,0.0,900,0.035555555555555556,0.033482142857142856,0.03761061946902655,19.400121134,0.01,1.0,1.0
150,4,300,0.01,0.0196078431372549,0.0,900,0.03666666666666667,0.039735099337748346,0.03355704697986577,19.335904644,0.01,1.0,1.0
150,6,300,0.03,0.05660377358490566,0.0,900,0.03777777777777778,0.02727272727272727,0.04782608695652174,18.894939518,0.01,1.0,1.0
